149657,Czech,1024891,English,917872
149657,Czech,966568,Slovenian,1723634
149657,Czech,1094367,German,1561661
149657,Czech,583097,Czech,984240
152563,Czech,1090065,English,917872
152563,Czech,1032890,Slovenian,1723634
152563,Czech,1185472,German,1561661
152563,Czech,663565,Czech,981334
136807,Czech,1045459,English,917872
136807,Czech,984604,Slovenian,1723634
136807,Czech,1126612,German,1561661
136807,Czech,691467,Czech,997090
98756,Czech,829033,English,917872
98756,Czech,844946,Slovenian,1723634
98756,Czech,994845,German,1561661
98756,Czech,274194,Czech,1035141
96896,Czech,871818,English,917872
96896,Czech,895207,Slovenian,1723634
96896,Czech,1059041,German,1561661
96896,Czech,328919,Czech,1037001
96046,Czech,850847,English,917872
96046,Czech,877878,Slovenian,1723634
96046,Czech,1032673,German,1561661
96046,Czech,308866,Czech,1037851
95983,Czech,803489,English,917872
95983,Czech,834556,Slovenian,1723634
95983,Czech,993981,German,1561661
95983,Czech,300363,Czech,1037914
98794,Czech,819035,English,917872
98794,Czech,839671,Slovenian,1723634
98794,Czech,1007442,German,1561661
98794,Czech,355313,Czech,1035103
100578,Czech,832861,English,917872
100578,Czech,868764,Slovenian,1723634
100578,Czech,1015274,German,1561661
100578,Czech,404807,Czech,1033319
107799,Czech,809175,English,917872
107799,Czech,809335,Slovenian,1723634
107799,Czech,962605,German,1561661
107799,Czech,386039,Czech,1026098
